well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
12	F	0.957	1914	2000	1	6	6	NO	0.1	0.04300000000000004	0.957	-0.12937576674905996	0.05500000000000005	F6
6	F	0.955	1910	2000	2	6	6	NO	0.1	0.04500000000000004	0.955	0.023777212524490738	0.04300000000000004	F6
12	F	0.9495	1899	2000	3	6	6	NO	0.1	0.05049999999999999	0.9495	0.06054332836969144	0.04500000000000004	F6
6	F	0.936	1872	2000	4	6	6	NO	0.1	0.06399999999999995	0.936	0.12561490042655274	0.05049999999999999	F6
12	F	0.9185	1837	2000	5	6	6	NO	0.1	0.08150000000000002	0.9185	0.13029675435477897	0.06399999999999995	F6
1	G	0.213	426	2000	0	1	6	YES	0.9	0.787	0.21299999999999997	0	0.787	G1
7	G	0.2695	539	2000	1	1	6	YES	0.9	0.7304999999999999	0.2695000000000001	-0.15488762093313824	0.787	G1
1	G	0.183	366	2000	2	1	6	YES	0.9	0.817	0.18300000000000005	0.2494960505884399	0.7304999999999999	G1
7	G	0.2785	557	2000	3	1	6	YES	0.9	0.7215	0.27849999999999997	-0.2721193115859973	0.817	G1
1	G	0.2345	469	2000	4	1	6	YES	0.9	0.7655000000000001	0.23449999999999993	0.11557965418240893	0.7215	G1
7	G	0.2655	531	2000	5	1	6	YES	0.9	0.7344999999999999	0.26550000000000007	-0.08274923613973337	0.7655000000000001	G1
2	G	0.6975	1395	2000	0	2	6	YES	0.5	0.3025	0.6975	0	0.3025	G2
8	G	0.757	1514	2000	1	2	6	YES	0.5	0.243	0.757	-0.15044028693613784	0.3025	G2
2	G	0.6825	1365	2000	2	2	6	YES	0.5	0.3175	0.6825	0.185508550685266	0.243	G2
8	G	0.7615	1523	2000	3	2	6	YES	0.5	0.23850000000000005	0.7615	-0.19781807664022605	0.3175	G2
2	G	0.722	1444	2000	4	2	6	YES	0.5	0.278	0.722	0.10325841840231567	0.23850000000000005	G2
8	G	0.7495	1499	2000	5	2	6	YES	0.5	0.25049999999999994	0.7495	-0.0707716859077721	0.278	G2
3	G	0.953	1906	2000	0	3	6	YES	0.1	0.04700000000000004	0.953	0	0.04700000000000004	G3
