replicate	starting_freq_I7	stained_isolate	predator 	time point	dilution	count_I7	count_I6	total	freq_I7	freq_I6					
C4	0.9	7	no	4	7	124	40	164	0.756	0.244					
D4	0.9	7	no	4	6	275	1	276	0.996	0.004					
B5	0.5	7	no	4	6	61	188	249	0.245	0.755					
C5	0.5	7	no	4	7	31	125	156	0.199	0.801					
D5	0.5	7	no	4	6	10	13	23	0.435	0.565					
B6	0.1	7	no	4	7	3	113	116	0.026	0.974					
C6	0.1	7	no	4	6	9	194	203	0.044	0.956					
D6	0.1	7	no	4	6	4	7	11	0.364	0.636					
E1	0.9	6	yes	4	6	122	44	166	0.735	0.265					
F1	0.9	6	yes	4	7	117	34	151	0.775	0.225					
G1	0.9	6	yes	4	6	56	0	56	1.000	0.000					
E2	0.5	6	yes	4	8	183	50	233	0.785	0.215					
F2	0.5	6	yes	4	8	86	105	191	0.450	0.550					
G2	0.5	6	yes	4	6	30	3	33	0.909	0.091					
E3	0.1	6	yes	4	7	12	110	122	0.098	0.902					
F3	0.1	6	yes	4	8	19	90	109	0.174	0.826					
G3	0.1	6	yes	4	6	0	8	8	0.000	1.000					
E4	0.9	6	no	4	8	131	7	138	0.949	0.051					
F4	0.9	6	no	4	6	151	50	201	0.751	0.249					
G4	0.9	6	no	4	6	43	6	49	0.878	0.122					
E5	0.5	6	no	4	8	73	44	117	0.624	0.376					
F5	0.5	6	no	4	8	54	90	144	0.375	0.625					
G5	0.5	6	no	4	6	49	14	63	0.778	0.222					
E6	0.1	6	no	4	7	11	145	156	0.071	0.929					
F6	0.1	6	no	4	7	7	137	144	0.049	0.951					
G6	0.1	6	no	4	6	1	16	17	0.059	0.941					
B1	0.9	7	yes	5	7	18	3	21	0.857	0.143					
C1	0.9	7	yes	5	9	46	12	58	0.793	0.207					
D1	0.9	7	yes	5	9	101	27	128	0.789	0.211					
B2	0.5	7	yes	5	7	24	53	77	0.312	0.688					
C2	0.5	7	yes	5	9	62	92	154	0.403	0.597					
D2	0.5	7	yes	5	8	32	71	103	0.311	0.689					
B3	0.1	7	yes	5	7	7	85	92	0.076	0.924					
C3	0.1	7	yes	5	9	6	107	113	0.053	0.947					
D3	0.1	7	yes	5	10	9	210	219	0.041	0.959					
B4	0.9	7	no	5	7	34	5	39	0.872	0.128					
C4	0.9	7	no	5	7	33	14	47	0.702	0.298					
D4	0.9	7	no	5	9	105	20	125	0.840	0.160					
B5	0.5	7	no	5	7	12	43	55	0.218	0.782					
C5	0.5	7	no	5	8	65	200	265	0.245	0.755					
D5	0.5	7	no	5	10	61	139	200	0.305	0.695					
B6	0.1	7	no	5	7	4	151	155	0.026	0.974					
C6	0.1	7	no	5	10	6	133	139	0.043	0.957					
D6	0.1	7	no	5	10	14	233	247	0.057	0.943					
E1	0.9	6	yes	5	8	15	9	24	0.625	0.375					
F1	0.9	6	yes	5	8	84	29	113	0.743	0.257					
G1	0.9	6	yes	5	8	51	3	54	0.944	0.056					
E2	0.5	6	yes	5	10	53	116	169	0.314	0.686					
F2	0.5	6	yes	5	7	42	96	138	0.304	0.696					
G2	0.5	6	yes	5	7	34	3	37	0.919	0.081					
E3	0.1	6	yes	5	10	17	303	320	0.053	0.947					
F3	0.1	6	yes	5	11	1	207	208	0.005	0.995					
G3	0.1	6	yes	5	8	13	13	26	0.500	0.500					
E4	0.9	6	no	5	7	65	18	83	0.783	0.217					
F4	0.9	6	no	5	7	51	14	65	0.785	0.215					
G4	0.9	6	no	5	7	69	0	69	1.000	0.000					
E5	0.5	6	no	5	7	16	58	74	0.216	0.784					
F5	0.5	6	no	5	7	63	140	203	0.310	0.690					
G5	0.5	6	no	5	9	38	2	40	0.950	0.050					
E6	0.1	6	no	5	8	4	140	144	0.028	0.972					
F6	0.1	6	no	5	7	13	223	236	0.055	0.945					
G6	0.1	6	no	5	7	4	6	10	0.400	0.600					
