starting_freq_I7	stained_isolate	predator	time.point	dilution	count_I7	count_I6	total	freq_I7	freq_I6	cell_concentration	replicate	density_I6	density_I7	rel_fitness	freq_I7_previous
0.9	6	yes	2	6	46	31	77	0.597	0.403	24062500	G1	9697187.5	14365312.5	-Inf	1
0.9	6	yes	3	6	129	5	134	0.963	0.037	41875000	G1	1549375	40325625	1.433077473853991	0.597
0.9	6	yes	4	6	56	0	56	1	0	17500000	G1	0	17500000	Inf	0.963
0.9	6	yes	5	8	51	3	54	0.944	0.056	421875000	G1	23625000	398250000	-Inf	1
0.5	6	yes	0	6	190	278	468	0.406	0.594	90000000	G2	53460000	36540000	0	0.406
0.5	6	yes	1	5	155	9	164	0.945	0.055	10250000	G2	563750	9686250	1.612188951011092	0.406
0.5	6	yes	2	6	41	146	187	0.219	0.781	58437500	G2	45639687.5	12797812.5	-2.0576775811422285	0.945
0.5	6	yes	3	6	37	4	41	0.902	0.098	12812500	G2	1255625	11556875	1.7455752307076184	0.219
0.5	6	yes	4	6	30	3	33	0.909	0.091	10312500	G2	938437.5	9374062.5	0.040919273134288586	0.902
0.5	6	yes	5	7	34	3	37	0.919	0.081	57812500	G2	4682812.5	53129687.5	0.0636756900113098	0.909
0.1	6	yes	0	6	21	417	438	0.048	0.952	84230769.231	G3	80187692.307912	4043076.923088	0	0.048
0.1	6	yes	1	5	35	28	63	0.556	0.444	3937500	G3	1748250	2189250	1.6061538778509161	0.048
0.1	6	yes	2	6	5	75	80	0.063	0.938	25000000	G3	23450000	1575000	-1.462779477216525	0.556
0.1	6	yes	3	7	17	11	28	0.607	0.393	43750000	G3	17193750	26556250	1.5676672009024646	0.063
0.1	6	yes	4	6	0	8	8	0	1	2500000	G3	2500000	0	-Inf	0.607
0.1	6	yes	5	8	13	13	26	0.5	0.5	203125000	G3	101562500	101562500	Inf	0
0.9	6	no	0	6	325	53	378	0.86	0.14	72692307.692	G4	10176923.07688	62515384.61512	0	0.86
0.9	6	no	1	6	62	4	66	0.939	0.061	20625000	G4	1258125	19366875	0.45932582419835133	0.86
0.9	6	no	2	6	60	27	87	0.69	0.31	27187500	G4	8428125	18759375	-0.9669111574614193	0.939
0.9	6	no	3	6	67	8	75	0.893	0.107	23437500	G4	2507812.5	20929687.5	0.6608192231512399	0.69
0.9	6	no	4	6	43	6	49	0.878	0.122	15312500	G4	1868125	13444375	-0.07406609875636636	0.893
0.9	6	no	5	7	69	0	69	1	0	107812500	G4	0	107812500	Inf	0.878
0.5	6	no	0	6	190	278	468	0.406	0.594	90000000	G5	53460000	36540000	0	0.406
0.5	6	no	1	6	61	12	73	0.836	0.164	22812500	G5	3741250	19071250	1.0046441725107078	0.406
0.5	6	no	2	6	27	148	175	0.154	0.846	54687500	G5	46265625	8421875	-1.6661644712265486	0.836
0.5	6	no	3	6	47	6	53	0.887	0.113	16562500	G5	1871562.5	14690937.5	1.8820119603949166	0.154
0.5	6	no	4	6	49	14	63	0.778	0.222	19687500	G5	4370625	15316875	-0.4032040106455634	0.887
0.5	6	no	5	9	38	2	40	0.95	0.05	1562500000	G5	78125000	1484375000	0.8451949184301639	0.778
0.1	6	no	0	6	21	417	438	0.048	0.952	84230769.231	G6	80187692.307912	4043076.923088	0	0.048
0.1	6	no	1	5	39	23	62	0.629	0.371	3875000	G6	1437625	2437375	1.7576466089882399	0.048
0.1	6	no	2	7	8	77	85	0.094	0.906	132812500	G6	120328125	12484375	-1.3968368589329905	0.629
0.1	6	no	3	6	7	1	8	0.875	0.125	2500000	G6	312500	2187500	2.105827336414144	0.094
0.1	6	no	4	6	1	16	17	0.059	0.941	5312500	G6	4999062.5	313437.5	-2.357657922367487	0.875
0.1	6	no	5	7	4	6	10	0.4	0.6	15625000	G6	9375000	6250000	1.181970293785748	0.059
