well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
3	E	0.9625	1925	2000	4	3	6	YES	0.1	0.03749999999999998	0.9625	0.16967704149805016	0.027000000000000024	E3
9	E	0.9775	1955	2000	5	3	6	YES	0.1	0.022499999999999964	0.9775	-0.2631449247317866	0.03749999999999998	E3
4	E	0.2115	423	2000	0	4	6	NO	0.9	0.7885	0.21150000000000002	0	0.7885	E4
10	E	0.3	600	2000	1	4	6	NO	0.9	0.7	0.30000000000000004	-0.23430477376477846	0.7885	E4
4	E	0.172	344	2000	2	4	6	NO	0.9	0.8280000000000001	0.17199999999999993	0.36211040859230187	0.7	E4
10	E	0.2165	433	2000	3	4	6	NO	0.9	0.7835	0.21650000000000003	-0.1426690816091382	0.8280000000000001	E4
4	E	0.261	522	2000	4	4	6	NO	0.9	0.739	0.261	-0.12270150036401124	0.7835	E4
10	E	0.358	716	2000	5	4	6	NO	0.9	0.642	0.358	-0.2283610981681236	0.739	E4
5	E	0.6255	1251	2000	0	5	6	NO	0.5	0.37450000000000006	0.6255	0	0.37450000000000006	E5
11	E	0.709	1418	2000	1	5	6	NO	0.5	0.29100000000000004	0.709	-0.18878636620547168	0.37450000000000006	E5
5	E	0.644	1288	2000	2	5	6	NO	0.5	0.356	0.644	0.14888213205415585	0.29100000000000004	E5
11	E	0.706	1412	2000	3	5	6	NO	0.5	0.29400000000000004	0.706	-0.14163373745111857	0.356	E5
5	E	0.7125	1425	2000	4	5	6	NO	0.5	0.2875	0.7125	-0.015760790875420136	0.29400000000000004	E5
11	E	0.798	1596	2000	5	5	6	NO	0.5	0.20199999999999996	0.798	-0.23314192407160195	0.2875	E5
6	E	0.9415	1883	2000	0	6	6	NO	0.1	0.058499999999999996	0.9415	0	0.058499999999999996	E6
12	E	0.954	1908	2000	1	6	6	NO	0.1	0.04600000000000004	0.954	-0.12678734054989707	0.058499999999999996	E6
6	E	0.9455	1891	2000	2	6	6	NO	0.1	0.05449999999999999	0.9455	0.08925454426493833	0.04600000000000004	E6
12	E	0.9635	1927	2000	3	6	6	NO	0.1	0.03649999999999998	0.9635	-0.20987352041833107	0.05449999999999999	E6
6	E	0.94	1880	2000	4	6	6	NO	0.1	0.06000000000000005	0.94	0.260862457112014	0.03649999999999998	E6
12	E	0.9705	1941	2000	5	6	6	NO	0.1	0.02949999999999997	0.9705	-0.37094291311067196	0.06000000000000005	E6
1	F	0.213	426	2000	0	1	6	YES	0.9	0.787	0.21299999999999997	0	0.787	F1
7	F	0.2475	495	2000	1	1	6	YES	0.9	0.7525	0.24750000000000005	-0.09747283404684641	0.787	F1
1	F	0.255	510	2000	2	1	6	YES	0.9	0.745	0.255	-0.01993487069657607	0.7525	F1
7	F	0.3065	613	2000	3	1	6	YES	0.9	0.6935	0.3065	-0.12779359442125654	0.745	F1
1	F	0.1985	397	2000	4	1	6	YES	0.9	0.8015	0.1985	0.28958119377187114	0.6935	F1
7	F	0.3715	743	2000	5	1	6	YES	0.9	0.6285000000000001	0.37149999999999994	-0.434954354024937	0.8015	F1
2	F	0.7055	1411	2000	0	2	6	YES	0.5	0.2945	0.7055	0	0.2945	F2
8	F	0.7595	1519	2000	1	2	6	YES	0.5	0.24050000000000005	0.7595	-0.1381562321443921	0.2945	F2
2	F	0.6875	1375	2000	2	2	6	YES	0.5	0.3125	0.6875	0.18074143606287063	0.24050000000000005	F2
