row	well	unstained	stained	time.point	sample	stained_species	freq_Pf_ISX	freq_Ec_ISX	rel_fitness_ISX	freq_Pf_previous_ISX	starting_frequency
E	1	67.65	32.35	3	E1	Ec	0.6765000000000001	0.006765000000000001	-0.11834428738341893	72.6	0.9
E	5	69.35	30.65	4	E1	Ec	0.6935	0.006935	0.03940007535436608	67.65	0.9
E	9	70.45	29.55	5	E1	Ec	0.7045	0.007045	0.026143005056981108	69.35	0.9
E	2	10	90	0	E2	Ec	0.1	0.001	0	10	0.5
E	6	12.25	87.75	1	E2	Ec	0.1225	0.001225	0.11412932599049014	10	0.5
E	10	15.15	84.85	2	E2	Ec	0.15150000000000005	0.0015150000000000005	0.12304073281519118	12.25	0.5
E	2	16.25	83.75	3	E2	Ec	0.1625	0.0016250000000000001	0.0415705988977137	15.150000000000006	0.5
E	6	20.85	79.1	4	E2	Ec	0.20900000000000007	0.0020900000000000007	0.15438977306329335	16.25	0.5
E	10	25.4	74.6	5	E2	Ec	0.25400000000000006	0.0025400000000000006	0.12678619130880925	20.900000000000006	0.5
E	3	0.8	99.2	0	E3	Ec	0.007999999999999972	7.999999999999972e-5	0	0.7999999999999972	0.1
E	7	1	99	1	E3	Ec	0.01	1e-4	0.11258085773522528	0.7999999999999972	0.1
E	11	0.6	99.4	2	E3	Ec	0.005999999999999943	5.999999999999943e-5	-0.25742894364696933	1	0.1
E	3	1.15	98.8	3	E3	Ec	0.012000000000000028	1.2000000000000029e-4	0.3496008447343317	0.5999999999999943	0.1
E	7	1.6	98.4	4	E3	Ec	0.015999999999999945	1.5999999999999944e-4	0.14586943657369467	1.2000000000000028	0.1
E	11	2.4	97.6	5	E3	Ec	0.024000000000000056	2.4000000000000058e-4	0.2068142093736657	1.5999999999999943	0.1
F	1	61.5	38.5	0	F1	Ec	0.615	0.00615	0	61.5	0.9
F	5	56.2	43.8	1	F1	Ec	0.562	0.005620000000000001	-0.10954799700074432	61.5	0.9
F	9	71.6	28.4	2	F1	Ec	0.716	0.00716	0.3377114946410971	56.2	0.9
F	1	74.3	25.7	3	F1	Ec	0.743	0.00743	0.06845701551155	71.6	0.9
F	5	74.3	25.7	4	F1	Ec	0.743	0.00743	0	74.3	0.9
F	9	73.9	26.1	5	F1	Ec	0.7390000000000001	0.007390000000000001	-0.010421223098515299	74.3	0.9
F	2	10.2	89.8	0	F2	Ec	0.10200000000000004	0.0010200000000000003	0	10.200000000000003	0.5
F	6	9.6	90.4	1	F2	Ec	0.09599999999999995	9.599999999999995e-4	-0.03364195695320634	10.200000000000003	0.5
F	10	15.45	84.55	2	F2	Ec	0.15450000000000003	0.0015450000000000004	0.27137354846175316	9.599999999999994	0.5
F	2	19.15	80.85	3	F2	Ec	0.19150000000000006	0.0019150000000000007	0.129720600802187	15.450000000000003	0.5
F	6	24.95	75	4	F2	Ec	0.25	0.0025	0.1708402908641754	19.150000000000006	0.5
F	10	23.25	76.75	5	F2	Ec	0.2325	0.0023250000000000002	-0.04781798288291578	25	0.5
F	3	0.85	99	0	F3	Ec	0.01	1e-4	0	1	0.1
F	7	0.65	99.35	1	F3	Ec	0.006500000000000057	6.500000000000058e-5	-0.2171560174778407	1	0.1
F	11	0.65	99.35	2	F3	Ec	0.006500000000000057	6.500000000000058e-5	0	0.6500000000000057	0.1
F	3	0.8	99.2	3	F3	Ec	0.007999999999999972	7.999999999999972e-5	0.10457515974261548	0.6500000000000057	0.1
F	7	1.9	98.1	4	F3	Ec	0.01900000000000006	1.9000000000000058e-4	0.43807404260306043	0.7999999999999972	0.1
F	11	2.55	97.4	5	F3	Ec	0.025999999999999943	2.5999999999999944e-4	0.16040935738893214	1.9000000000000057	0.1
F	4	0	99.9	0	F4	Ec	9.999999999999432e-4	9.999999999999432e-6	0	0.09999999999999432	0
F	8	0.3	99.65	1	F4	Ec	0.0034999999999999433	3.4999999999999435e-5	0.6276343037455564	0.09999999999999432	0
F	12	0	100	2	F4	Ec	0	0	-Inf	0.3499999999999943	0
F	4	0.25	99.7	3	F4	Ec	0.0029999999999999714	2.9999999999999716e-5	Inf	0	0
F	8	0.35	99.65	4	F4	Ec	0.0034999999999999433	3.4999999999999435e-5	0.0773261550681202	0.29999999999999716	0
F	12	0.8	99.2	5	F4	Ec	0.007999999999999972	7.999999999999972e-5	0.41560230277622867	0.3499999999999943	0
G	1	60.1	39.9	0	G1	Ec	0.601	0.00601	0	60.1	0.9
G	5	59.9	40.1	1	G1	Ec	0.599	0.00599	-0.004166673418232033	60.1	0.9
G	9	72	28	2	G1	Ec	0.72	0.0072	0.2715807190159857	59.9	0.9
G	1	76.55	23.45	3	G1	Ec	0.7655	0.0076549999999999995	0.11930600918527637	72	0.9
G	5	76.55	23.45	4	G1	Ec	0.7655	0.0076549999999999995	0	76.55	0.9
G	9	75.15	24.85	5	G1	Ec	0.7515000000000001	0.007515000000000001	-0.03822263177752916	76.55	0.9
G	2	10.3	89.7	0	G2	Ec	0.10299999999999998	0.0010299999999999999	0	10.299999999999997	0.5
G	6	9.25	90.75	1	G2	Ec	0.0925	9.25e-4	-0.05957902389573279	10.299999999999997	0.5
G	10	12.5	87.45	2	G2	Ec	0.12549999999999997	0.0012549999999999998	0.17106919286690397	9.25	0.5
G	2	20.3	79.65	3	G2	Ec	0.20349999999999996	0.0020349999999999995	0.2883927057096823	12.549999999999997	0.5
G	6	26.1	73.9	4	G2	Ec	0.26099999999999995	0.0026099999999999995	0.1618918054209726	20.349999999999994	0.5
G	10	29.25	70.7	5	G2	Ec	0.293	0.00293	0.07995972837300153	26.099999999999994	0.5
G	3	1.05	98.95	0	G3	Ec	0.010499999999999971	1.0499999999999972e-4	0	1.0499999999999972	0.1
G	7	0.85	99.15	1	G3	Ec	0.008499999999999943	8.499999999999944e-5	-0.10666413829222061	1.0499999999999972	0.1
G	11	0.5	99.4	2	G3	Ec	0.005999999999999943	5.999999999999943e-5	-0.17541247648247096	0.8499999999999943	0.1
G	3	1.8	98.2	3	G3	Ec	0.01799999999999997	1.799999999999997e-4	0.5553790934851129	0.5999999999999943	0.1
G	7	2.45	97.55	4	G3	Ec	0.02450000000000003	2.450000000000003e-4	0.15747125397290976	1.7999999999999972	0.1
G	11	2.7	97.3	5	G3	Ec	0.027000000000000027	2.700000000000003e-4	0.04986491316540425	2.450000000000003	0.1
G	4	99.05	0.95	0	G4	Ec	0.9905	0.009905	0	99.05	0
G	8	99	1	1	G4	Ec	0.99	0.0099	-0.02589910869875874	99.05	0
G	12	98.6	1.4	2	G4	Ec	0.986	0.00986	-0.1702604125736086	99	0
G	4	99.05	0.9	3	G4	Ec	0.991	0.00991	0.2234454660031947	98.6	0
G	8	98.65	1.3	4	G4	Ec	0.9870000000000001	0.009870000000000002	-0.1858846375109076	99.1	0
